pmid,title,percents,n_percents,min,max,mean,context_snippets
33600431,"Treatment outcomes of children and adolescents receiving drug-resistant TB treatment in a routine TB programme, Mumbai, India.",6; 72; 74; 58; 42; 62; 94; 60; 95; 95; 95,11,6.0,95.0,68.45454545454545,"otal of 268 patients were included; 16 (6%) of them were children (0-9 years). The | in-max) age was 17(4-19) years and 192 (72%) were females. Majority (199, 74%) had | 192 (72%) were females. Majority (199, 74%) had pulmonary TB. Most (58%) had MDR-T | rity (199, 74%) had pulmonary TB. Most (58%) had MDR-TB while 42% had fluoroquinolo | lmonary TB. Most (58%) had MDR-TB while 42% had fluoroquinolone-resistant TB. The m | was 3(3-4) months. Of 268 patients, 166(62%) had successful end-of-treatment outcom | rtion of successful treatment outcomes (94% versus 60%) compared to adolescents. Pa | ccessful treatment outcomes (94% versus 60%) compared to adolescents. Patients with | dernutrition [adjusted odds-ratio, aOR (95% Confidence Interval, 95%CI): 2.5 (1.3-4 | ds-ratio, aOR (95% Confidence Interval, 95%CI): 2.5 (1.3-4.8) or those with XDR-TB | .5 (1.3-4.8) or those with XDR-TB [aOR (95% CI): 4.3 (1.3-13.8)] had higher likelih"
33565479,"Adverse drug reactions and risk factors for discontinuation of multidrug-resistant tuberculosis regimens in Gujarat, western India.",73; 42.6; 37.2; 36.2; 34; 33; 7.4; 8.5; 11.7; 13.8; 94.7; 80; 75; 64,14,7.4,94.7,43.65,"DR-TB. Sixty-nine patients with MDR-TB (73%) reported ADRs. Tingling (42.6%), heada | h MDR-TB (73%) reported ADRs. Tingling (42.6%), headache (37.2%), numbness (36.2%), d | orted ADRs. Tingling (42.6%), headache (37.2%), numbness (36.2%), dizziness (34%) and | ng (42.6%), headache (37.2%), numbness (36.2%), dizziness (34%) and nausea (33%) were | e (37.2%), numbness (36.2%), dizziness (34%) and nausea (33%) were the most common | ss (36.2%), dizziness (34%) and nausea (33%) were the most common ADRs. Of the 94 p | e most common ADRs. Of the 94 patients, 7.4% were compelled to think of discontinuin | continuing their treatment due to ADRs; 8.5% had discontinued Cat-I/Cat-II regimen i | inued Cat-I/Cat-II regimen in the past; 11.7% had discontinued their MDR-TB regimen i | inued their MDR-TB regimen in the past; 13.8% had their drug regimen changed due to A | ir drug regimen changed due to ADRs and 94.7% had good adherence to their current reg | to their current regimen (took at least 80% of their doses till date). ADRs were th | es till date). ADRs were the reason for 75% of the patients who discontinued their | ir Cat-I/Cat-II regimen in the past and 64% of the patients who discontinued their"
33067551,Prevalence and factors associated with multidrug-resistant tuberculosis in South India.,5.4; 2.5; 11.4; 38; 29.3; 32.7; 59.4; 72.5; 27.5; 42.9; 22.2; 17.3; 54.5; 40.7; 4.7; 95; 2.17595; 95; 95; 95; 95; 95; 95; 95; 95; 95; 8.4; 1.3,28,1.3,95.0,50.81699821428572,"niazid mono-resistant TB were found in 5.4%, 2.5%, and 11.4% cases of presumptive M | mono-resistant TB were found in 5.4%, 2.5%, and 11.4% cases of presumptive MDR-TB, | stant TB were found in 5.4%, 2.5%, and 11.4% cases of presumptive MDR-TB, respective | d resistance to Rifampicin was found in 38%, 29.3%, and 32.7% of the 1582 MDR cases | istance to Rifampicin was found in 38%, 29.3%, and 32.7% of the 1582 MDR cases, respe | Rifampicin was found in 38%, 29.3%, and 32.7% of the 1582 MDR cases, respectively. S4 | he most common rpoB mutation present in 59.4% of the Rifampicin resistant cases. Of t | Of the 3390 Isoniazid resistant cases, 72.5% had mutations in the katG gene, and 27. | .5% had mutations in the katG gene, and 27.5% had mutations in the inhA gene. True re | , and inferred resistance accounted for 42.9%, 22.2%, and 17.3% of the 2459 katG resi | nferred resistance accounted for 42.9%, 22.2%, and 17.3% of the 2459 katG resistant c | istance accounted for 42.9%, 22.2%, and 17.3% of the 2459 katG resistant cases, respe | istance for the inhA gene were found in 54.5%, 40.7%, and 4.7% cases, respectively. M | for the inhA gene were found in 54.5%, 40.7%, and 4.7% cases, respectively. MDR-cont | hA gene were found in 54.5%, 40.7%, and 4.7% cases, respectively. MDR-contact (AOR 3 | s, respectively. MDR-contact (AOR 3.171 95% CI: 1.747-5.754, p-0.000) treatment fai | -5.754, p-0.000) treatment failure (AOR 2.17595% CI: 1.703-2.777, p-0.000) and female ge | , p-0.000) and female gender (AOR 1.315 95% CI: 1.117-1.548, p-0.001), were positiv | ositive association with MDR (AOR 1.113 95% CI: 0.801-1.546, p-0.523). Old age (AOR | 801-1.546, p-0.523). Old age (AOR 0.994 95% CI: 0.990-0.999, p-0.023) and HIV serop | .023) and HIV seropositivity (AOR 0.580 95% CI: 0.369-0.911, p-0.018) were negative | ation with treatment failure (AOR 2.509 95% CI: 1.804-3.490, p < .001), it did not | n with previous TB treatment (AOR 1.286 95% CI: 0.765-2.164, p-0.342) or with histo | story of contact with MDR-TB (AOR 1.813 95% CI: 0.591-5.560, p-0.298). However, INH | history of treatment for TB (AOR 1.303 95% CI: 1.021-1.662, p-0.033). It was also | s also positively associated (AOR 2.094 95% CI: 1.236-3.548, p-0.006) with MDR-TB c | shows a decrease in MDR prevalence from 8.4% in 2015 to 1.3% in 2018. A similar tren | in MDR prevalence from 8.4% in 2015 to 1.3% in 2018. A similar trend is observed fo"
33062976,"Profile of HIV and multidrug-resistant tuberculosis in orphans living in orphanages in Mumbai, Maharashtra, India.",61.1; 38.9; 3.5; 5.5,4,3.5,61.1,27.25,"en in orphanage A, boys constituted 11 (61.1%) and girls were 7 (38.9%), whereas orph | onstituted 11 (61.1%) and girls were 7 (38.9%), whereas orphanage B had all girls ( C | rphanages, with prevalence ranging from 3.5% to 5.5%. | s, with prevalence ranging from 3.5% to 5.5%."
32862166,High degree of fluoroquinolone resistance among extrapulmonary tuberculosis patients at a tertiary care center in North India.,20.4; 4.3,2,4.3,20.4,12.35,. Monoresistance of FQs was observed in 20.4% (11/54) among RR/MDR-TB isolates and 4. | 4% (11/54) among RR/MDR-TB isolates and 4.3% (15/348) among FLD-sensitive isolates.
32719234,"Trends & treatment outcomes of multidrug-resistant tuberculosis in Delhi, India (2009-2014): A retrospective record-based study.",59.12; 53.28,2,53.28,59.12,56.2,"from the treatment cards, of whom 1749 (59.12%) were males. The mean (±standard deviat | eatment outcomes were reported in 1371 (53.28%) patients, but they showed a declining"
32461400,Genotype analysis of ofloxacin-resistant multidrug-resistant Mycobacterium tuberculosis isolates in a multicentered study from India.,6.25; 44.44; 29.27; 30.15; 62.86; 5.71,6,5.71,62.86,29.78,"and spoligotyping, respectively. Three (6.25%), 12 (44.44%) and 12 (29.27%) MDR-TB is | yping, respectively. Three (6.25%), 12 (44.44%) and 12 (29.27%) MDR-TB isolates from w | ely. Three (6.25%), 12 (44.44%) and 12 (29.27%) MDR-TB isolates from western, northern | stant MDR-TB cases (P <0.05). Among 35 (30.15%) phenotypically OFX-resistant isolates, | notypically OFX-resistant isolates, 22 (62.86%) had mutations in the gyrA gene and two | had mutations in the gyrA gene and two (5.71%) isolates had mutations in the gyrB gen"
32218585,The potential deployment of a pan-tuberculosis drug regimen in India: A modelling analysis.,23.9; 95; 30.8; 2.30; 95; 3.48; 95,7,2.3,95.0,49.354285714285716,"e the annual incidence of TB in 2030 by 23.9% [95% Bayesian credible intervals [CrI] | nnual incidence of TB in 2030 by 23.9% [95% Bayesian credible intervals [CrI] 17.6- | Bayesian credible intervals [CrI] 17.6-30.8%] if used to treat all TB cases, and by | ] if used to treat all TB cases, and by 2.30% [95% CrI 1.57-3.48%] if used to treat o | ed to treat all TB cases, and by 2.30% [95% CrI 1.57-3.48%] if used to treat only R | ll TB cases, and by 2.30% [95% CrI 1.57-3.48%] if used to treat only RR-TB. Notably, | th a regimen costing less than USD 359 (95% CrI 287-441), treating all diagnosed TB"
32192619,High prevalence of rifampin-resistant tuberculosis in mountainous districts of India.,85; 18; 10; 15; 36; 40; 15; 95,8,10.0,95.0,39.25,"atients enrolled (median age: 45 years; 85% males), 18% (n = 68) were rifampin-resi | lled (median age: 45 years; 85% males), 18% (n = 68) were rifampin-resistant. Among | (n = 305), distributions of RR-TB were: 10% (n = 9/89) for recurrent cases who had | ad received TB treatment for <2-months, 15% each for new (n = 9/59) or recurrent ca | ve between 2 and 4 months of treatment, 36% (n = 41/113) for treatment failures, an | n = 41/113) for treatment failures, and 40% (n = 2/5) for loss to follow-ups. Of th | low-ups. Of the sputum-smear positives, 15% (n = 51/338) were Xpert negative. Seeki | ted with higher risk of RR-TB (OR:1.85; 95% CI:0.87-3.9). Prevalence of RR-TB is ge"
32192613,Effectiveness and safety of bedaquiline under conditional access program for treatment of drug-resistant tuberculosis in India: An interim analysis.,50; 56; 89; 39; 57,5,39.0,89.0,58.2,t tuberculosis (MDR-TB); with less than 50% having successful treatment outcomes. B | undred and twenty MDR-TB patients [349 (56%) males; 554 (89%) between 18 and 50 yea | MDR-TB patients [349 (56%) males; 554 (89%) between 18 and 50 years and 240 (39%) | (89%) between 18 and 50 years and 240 (39%) severely malnourished] were started on | n June 2016 and August 2017. There 354 (57%) patients had MDR-TB with additional dr
32130233,Performance of Genotype MTBDRsl V2.0 over the Genotype MTBDRsl V1 for detection of second line drug resistance: An Indian perspective.,34.5; 6.2; 38.6; 85.7; 71.4; 28.5; 35.4; 5.3; 34.5; 4.4; 100,11,4.4,100.0,40.40909090909091,"B isolates. The results showed that 39 (34.5%) of these isolates were resistant to FQ | se isolates were resistant to FQ and 7 (6.2%) were XDR by Genotype MTBDRsl V2.0. Amo | t prevalent mutation was ΔWT3-D94G (17; 38.6%) and N538D (12; 85.7%). Among the AG/CP | as ΔWT3-D94G (17; 38.6%) and N538D (12; 85.7%). Among the AG/CP and KAN resistant iso | n in the rrs region was ΔWT1-A1401G (5; 71.4%) and C-14T (2; 28.5%) in eis gene. Seco | as ΔWT1-A1401G (5; 71.4%) and C-14T (2; 28.5%) in eis gene. Second line Bactec MGIT-9 | econd line Bactec MGIT-960 detected 40 (35.4%) isolates as resistant to FQ and 6 (5.3 | .4%) isolates as resistant to FQ and 6 (5.3%) as XDR isolates, whereas Genotype MTBD | Genotype MTBDRsl V1.0 also detected 39 (34.5%) as resistant to FQ but missed 2 isolat | tes in correctly identifying as XDR (5; 4.4%). Thus, concordance of second line Bact | with Genotype MTBDRsl V2.0 was similar (100%) for FQ detection but it has improvised"
31742141,Prevalence of multidrug resistance tuberculosis in adult patients in India: A systematic review and meta-analysis.,95; 3; 95; 2; 5,5,2.0,95.0,40.0,"eSH words. Prevalence was reported with 95% confidence interval (CI). A separate an | y I MDR-TB prevalence in new cases were 3% (95% CI 2%-5%, I MDR-TB prevalence in p | MDR-TB prevalence in new cases were 3% (95% CI 2%-5%, I MDR-TB prevalence in previo | prevalence in new cases were 3% (95% CI 2%-5%, I MDR-TB prevalence in previously t | valence in new cases were 3% (95% CI 2%-5%, I MDR-TB prevalence in previously trea"
31571455,"Socio-demographic Profile of MDR-TB and XDR-TB Patients Admitted in DR-TB Centre, North India.",20; 3.5; 18; 2.8; 12; 8.5; 41.86; 45.10,8,2.8,45.1,18.97,"veloped TB in 2017. India accounted for 20 % of world cases. Globally, 3.5 % of new | nted for 20 % of world cases. Globally, 3.5 % of new cases and 18% of previously trea | cases. Globally, 3.5 % of new cases and 18% of previously treated cases had MDR-TB. | TB. Corresponding figures for India are 2.8 % and 12 %. Among cases of MDR-TB in 2017 | ponding figures for India are 2.8 % and 12 %. Among cases of MDR-TB in 2017, 8.5% we | nd 12 %. Among cases of MDR-TB in 2017, 8.5% were estimated to have XDR-TB. Drug res | ents were analyzed, which revealed 293 (41.86 %) patients of MDR-TB and 23 (45.10 %) pa | 93 (41.86 %) patients of MDR-TB and 23 (45.10 %) patients of XDR-TB in the age group of"
31439176,"Epidemiological and behavioural correlates of drug-resistant tuberculosis in a Tertiary Care Centre, Delhi, India.",79.2; 20.8; 66; 46; 32; 58; 87; 35,8,20.8,87.0,53.0,"tients were included in the study; 198 (79.2%) with multidrug-resistant (MDR-TB) and | th multidrug-resistant (MDR-TB) and 52 (20.8%) with extensively drug-resistant TB (XD | y drug-resistant TB (XDR-TB). Of these, 66% patients were male and 46% came from po | ). Of these, 66% patients were male and 46% came from poor socioeconomic background | e current diagnosis of DR-TB. While 81 (32%) took treatment from private practition | er during the first episode of TB, 146 (58%) received treatment exclusively at gove | at government health facilities. Almost 87% of DR-TB patients were previously treat | larity of treatment was reported by 88 (35%) patients. The study explores the epide"
31408508,Development and evaluation of novel bio-safe filter paper-based kits for sputum microscopy and transport to directly detect Mycobacterium tuberculosis and associated drug resistance.,7; 4; 16; 20; 90; 95; 96; 84; 95; 92; 83; 95; 93; 75; 95; 97; 93; 92,18,4.0,97.0,73.44444444444444,"a significant increase in positivity of 7% and 4% over ZN smear and LED-FM smear ( | ficant increase in positivity of 7% and 4% over ZN smear and LED-FM smear (p<0.05) | smear grade status (1+ or 2+ to 3+) of 16% over ZN smear and 20% over LED-FM smear | + or 2+ to 3+) of 16% over ZN smear and 20% over LED-FM smear. The sensitivity of M | e MDR-TB and XDR-TB cases (n = 148) was 90% for Rifampicin (95% confidence interval | cases (n = 148) was 90% for Rifampicin (95% confidence interval [CI], 78-96%), 84% | picin (95% confidence interval [CI], 78-96%), 84% for Isoniazid (95% CI, 72-92%), 8 | (95% confidence interval [CI], 78-96%), 84% for Isoniazid (95% CI, 72-92%), 83% for | erval [CI], 78-96%), 84% for Isoniazid (95% CI, 72-92%), 83% for Fluoroquinolones ( | 78-96%), 84% for Isoniazid (95% CI, 72-92%), 83% for Fluoroquinolones (95% CI, 66- | %), 84% for Isoniazid (95% CI, 72-92%), 83% for Fluoroquinolones (95% CI, 66-93%) a | CI, 72-92%), 83% for Fluoroquinolones (95% CI, 66-93%) and 75% for Aminoglycosides | ), 83% for Fluoroquinolones (95% CI, 66-93%) and 75% for Aminoglycosides (95% CI, 3 | r Fluoroquinolones (95% CI, 66-93%) and 75% for Aminoglycosides (95% CI, 35-97%), u | I, 66-93%) and 75% for Aminoglycosides (95% CI, 35-97%), using phenotypic DST as th | and 75% for Aminoglycosides (95% CI, 35-97%), using phenotypic DST as the reference | rence standard. Test specificity was 88-93% and concordance was ~89-92% (κ value 0. | city was 88-93% and concordance was ~89-92% (κ value 0.8-0.9). The patient-friendly"
31151497,Second-line injectable induced ototoxicity in drug resistant tuberculosis: A systematic review of Indian studies.,10.12; 27.01; 25.0; 19.7; 13.3; 11.8; 8.2; 5.9; 4.8; 49.6; 40.8; 27.01,12,4.8,49.6,20.27,"n criteria. Ototoxicity was observed in 10.12% [349/3447] patients within 3.8 ± 2.6 mo | tiation and ototoxicity was observed in 27.01% (121/448) patients in these five studie | dies (high frequency loss: capreomycin, 25.0% [1/4 patients]; amikacin, 19.7% [12/61] | omycin, 25.0% [1/4 patients]; amikacin, 19.7% [12/61]; kanamycin, 13.3% [22/166]; str | s]; amikacin, 19.7% [12/61]; kanamycin, 13.3% [22/166]; streptomycin, 11.8% [2/17]; f | anamycin, 13.3% [22/166]; streptomycin, 11.8% [2/17]; flat loss: amikacin, 8.2% [5/61 | cin, 11.8% [2/17]; flat loss: amikacin, 8.2% [5/61]; streptomycin, 5.9% [1/17]; kana | s: amikacin, 8.2% [5/61]; streptomycin, 5.9% [1/17]; kanamycin 4.8% [8/166]). Most o | ]; streptomycin, 5.9% [1/17]; kanamycin 4.8% [8/166]). Most of the patients experien | toxicity were managed by discontinuing (49.6% [120/242]) or replacing SLI treatment ( | [120/242]) or replacing SLI treatment (40.8% [49/120]). The study identified high pr | city was monitored regularly using PTA (27.01%), warranting a need to develop unified"
31151492,Isoniazid mono-resistant tuberculosis: Time to take it seriously.,50.5; 67.3; 32.7; 51.9; 48.1; 65.4; 93.3; 58.8; 41.2; 84; 16; 54.2; 45.8; 78.8,14,16.0,93.3,56.285714285714285,"mes. Out of 103 DRTB patients enrolled, 50.5% (52/103) patients were diagnosed with i | id mono-resistant patients revealed:35 (67.3%) were males and 17 (32.7%) females. 27 | revealed:35 (67.3%) were males and 17 (32.7%) females. 27 (51.9%) patients were <30 | were males and 17 (32.7%) females. 27 (51.9%) patients were <30 years, 25 (48.1%) be | 27 (51.9%) patients were <30 years, 25 (48.1%) being ≥30 years of age. All patients w | patients were negative for HIV. 34/52 (65.4%) patients were declared cured, 15/52 we | ignificantly better in females (14/15 = 93.3%), with only 1/15 LTFU, than males (20/3 | ith only 1/15 LTFU, than males (20/34 = 58.8% cure, 14/34 = 41.2% LTFU), (p = 0.019). | than males (20/34 = 58.8% cure, 14/34 = 41.2% LTFU), (p = 0.019). Patients who were < | ignificantly better cure rates (21/25 = 84%) with lesser LTFU's (4/25 = 16%), than | 21/25 = 84%) with lesser LTFU's (4/25 = 16%), than those ≥30years of age (13/24 = 5 | %), than those ≥30years of age (13/24 = 54.2% cure, 11/24 = 45.8% LTFU), (p = 0.032). | ars of age (13/24 = 54.2% cure, 11/24 = 45.8% LTFU), (p = 0.032). Review of previous | niazid mono-resistant patients (26/33 = 78.8%), than those with previous history of b"
31114100,"A Survey of Medical Professionals in an Apex Tertiary Care Hospital to Assess Awareness, Interest, Practices, and Knowledge in Palliative Care: A Descriptive Cross-sectional Study.",56; 81; 77; 50.8; 88; 89.8; 50,7,50.0,89.8,70.37142857142858,"alliative care. Out of 186 respondents, 56% had not received any basic training in | any basic training in palliative care. 81% wanted palliative care education to be | on barrier in learning palliative care. 77% respondents had no idea about home base | ut home based palliative care services. 50.8% patients dies in hospital in their term | es in hospital in their terminal stage. 88% were interested in learning safe opioid | earning safe opioid practices. Although 89.8% were aware of the need of palliative ca | care in metastatic cancer but less than 50% were aware of the fact that palliative"
30797290,Catastrophic costs of treating drug resistant TB patients in a tertiary care hospital in India.,70; 37; 5; 2.56; 68; 20; 78; 10; 40,9,2.56,78.0,36.72888888888889,"althcare is choice of point of care for 70% of Indians. Multidrug resistant tubercu | he major expense was due to drug costs (37%) while consultation fees were only 5%. | (37%) while consultation fees were only 5%. Annual individual income for the cohor | rage, the cost of treatment ranged from 2.56% to 180.34% of the annual family income. | 34% of the annual family income. 34/50 (68%) had total costs greater than 20% of an | 4/50 (68%) had total costs greater than 20% of annual family income and 39/50 (78%) | 20% of annual family income and 39/50 (78%) had total costs greater than 10% of an | 9/50 (78%) had total costs greater than 10% of annual family income. The number of | he number of patients with total costs >40% of total family income was 22. MDR-TB i"
30675322,Rapid detection of multidrug resistant tuberculosis in respiratory specimens at a tertiary care centre in south coastal Karnataka using Genotype MTBDR plus assay.,19.53; 12.50; 5.86; 4.3,4,4.3,19.53,10.5475,"TB were tested by GenoType MTBDR Fifty (19.53%) isolates were found MDR, 32 (12.50%) i | y (19.53%) isolates were found MDR, 32 (12.50%) isolates were found mono-resistant to | und mono-resistant to isoniazid and 15 (5.86%) isolates were found mono-resistant to | sistant to rifampicin. Eleven isolates (4.3%) were found NTM. Mutation in codon S531"
30668857,Genetic diversity of Mycobacterium tuberculosis Central Asian Strain isolates from Nepal and comparison with neighboring countries.,23.3,1,23.3,23.3,23.3,"f 14 isolates with a clustering rate of 23.3%, suggesting ongoing transmissions. Base"
30611735,"Spoligotyping, phenotypic and genotypic characterization of katG, rpoB gene of M. tuberculosis isolates from Sahariya tribe of Madhya Pradesh India.",12.6; 4.85; 8.7; 3.8; 3.85; 0.97,6,0.97,12.6,5.794999999999999,"ibility test identified high incidence (12.6%) of isoniazid-resistant tuberculosis, w | isoniazid-resistant tuberculosis, while 4.85% isolates were multi drug resistant (MDR | otyping of drug target genes identified 8.7% of isoniazid-R isolates to have a mutat | ave a mutation at katG codon 463, while 3.8% isolates showed mutations at two sites, | MDR-TB isolates, all from CAS lineage, 3.85% had mutations on katG and rpoB genes, a | 463 and codon 526, respectively, while 0.97% isolates were harbouring mutations at c"
30522617,"Delineating the factors associated with recurrence of tuberculosis in programmatic settings of rural health block, Himachal Pradesh, India.",14.2; 50.0; 47.4; 13.8; 2.3; 51.7; 14.5; 48.3; 72.1; 00.0; 13.4,11,0.0,72.1,29.79090909090909,"t TB (recurrent cases). Total 29 cases (14.2%) had recurrence (17.7/100,000 populatio | ion for alternate residence (Recurrent: 50.0%, Non-recurrent: 47.4%; p = 0.001), Mult | dence (Recurrent: 50.0%, Non-recurrent: 47.4%; p = 0.001), Multi-drug resistance (MDR | ti-drug resistance (MDR) TB (Recurrent: 13.8%, Non-recurrent: 2.3%; p = 0.003), and s | R) TB (Recurrent: 13.8%, Non-recurrent: 2.3%; p = 0.003), and sputum negative patien | nd sputum negative patients (Recurrent: 51.7%, Non-recurrent: 14.5%; p = 0.000). Non- | ients (Recurrent: 51.7%, Non-recurrent: 14.5%; p = 0.000). Non-recurrent cases had si | n for sputum positive cases (Recurrent: 48.3%, Non-recurrent: 72.1%; p = 0.011), and | cases (Recurrent: 48.3%, Non-recurrent: 72.1%; p = 0.011), and extra-pulmonary TB (Re | 11), and extra-pulmonary TB (Recurrent: 00.0%, Non-recurrent: 13.4%; p = 0.036). MFA | ry TB (Recurrent: 00.0%, Non-recurrent: 13.4%; p = 0.036). MFA observed all significa"
30531028,Profile of drug-resistant-conferring mutations among new and previously treated pulmonary tuberculosis cases from Aligarh region of Northern India.,11.02; 20.03; 71.43; 72.17; 100; 81.74; 7.8,7,7.8,100.0,52.027142857142856,"d cases by GenoType MDR-TB was detected 11.02%, 20.03% in new and previously treated c | by GenoType MDR-TB was detected 11.02%, 20.03% in new and previously treated cases. Am | common mutation detected in rpoB gene; 71.43% in new, and 72.17% in previously treate | tected in rpoB gene; 71.43% in new, and 72.17% in previously treated cases. S315T1 was | ost common mutation noted in katG gene; 100% in new and 81.74% in previously treated | ion noted in katG gene; 100% in new and 81.74% in previously treated. While in hA gene | treated. While in hA gene, it was C15T (7.8%) among previously treated cases. MDR-TB"
30319946,Evaluation of treatment outcome and adverse drug reaction of directly observed treatment (DOT) plus regimen in multidrug-resistant tuberculosis (MDR-TB) patients at district tuberculosis centre Rajkot.,2.1; 15; 64.81; 69.44; 86.91; 50.93; 17.59; 18.51; 32.71; 34.42; 13.11; 8.1; 77.04,13,2.1,86.91,37.74384615384616,"n of multidrug-resistant TB (MDR-TB) is 2.1% (in new TB cases) and 15% (in previousl | (MDR-TB) is 2.1% (in new TB cases) and 15% (in previously treated cases). Programm | f total 108 patients majority patients (64.81%) were in young (20-39 years) with m:f: | DR-TB patients were retreated cases and 69.44% were ""undernutrition category"". Culture | category"". Culture conversion rate was 86.91% at 4 months of treatment. Cure rate was | at 4 months of treatment. Cure rate was 50.93% while defaulter rate and died rate was | defaulter rate and died rate was same (17.59%). Failure rate was 18.51%. Weight impro | ate was same (17.59%). Failure rate was 18.51%. Weight improvement was significantly a | ith cure rate. The incidence of ADR was 32.71%. Most frequent ADRs were related to gas | ere related to gastrointestinal system (34.42%), ototoxicity (13.11%), and central ner | ntestinal system (34.42%), ototoxicity (13.11%), and central nervous system (8.1%). Am | y (13.11%), and central nervous system (8.1%). Aminoglycosides, cycloserine, and eth | discontinued due to ADR. Majority ADRs (77.04%) were ""possible"" category by causality"
29933863,Active case finding of rifampicin sensitive and resistant TB among household contacts of drug resistant TB patients in Andhra Pradesh and Telangana states of India - A systematic screening intervention.,3; 17; 91.5; 1.8; 98.2; 45; 16.6; 98.5; 4.4; 44,10,1.8,98.5,42.0,"e prevalence of MDR-TB is known to be 2-3% among new TB patients and 12-17% in pre | to be 2-3% among new TB patients and 12-17% in previously treated patients, program | July 2011 and Sep 2013. Of these, 1602 (91.5%) MDR-TB patients were included in the s | patient. Of these, after excluding 87 (1.8%) contacts with past history of diagnosi | iagnosis and/or treatment for TB, 4771 (98.2%) contacts were screened for current sig | Their mean age was 28.5 years and 2151 (45%) were females. Of the 4771 contacts scr | es. Of the 4771 contacts screened, 793 (16.6%) had at least one of the symptoms sugge | symptoms suggestive of TB of whom 781 (98.5%) had two sputum specimen transported an | 781 symptomatic contacts examined, 34 (4.4%) were bacteriologically confirmed with | eriologically confirmed with TB and 15 (44%) also had Rif resistance (RR). High ext"
29933862,Cost effectiveness of decentralised care model for managing MDR-TB in India.,23; 94,2,23.0,94.0,58.5,the cost difference would range between 23% and 94% for the country. Our study prov | difference would range between 23% and 94% for the country. Our study provides evi
29933860,"Management practices of tuberculosis in children among pediatric practitioners in Mangalore, South India.",62; 50; 64; 22; 16; 52; 16; 52; 30; 72; 36,11,16.0,72.0,42.90909090909091,"tricians participated in the study with 62% having an attachment to the teaching in | to the teaching institution. More than 50% identified all the symptoms of TB. 64% | 50% identified all the symptoms of TB. 64% were sending chest X-ray, Mantoux test | tum examination for AFB to diagnose TB. 22% were not stressing for AFB examination. | ot stressing for AFB examination. Still 16% told serological tests as one of the di | ests as one of the diagnostic modality. 52% were not aware about the diagnosis of l | re about the diagnosis of latent TB. In 16% of their cases ATT was on a trial basis | ir cases ATT was on a trial basis. Only 52% of the clinicians are adhering to updat | to updated national (RNTCP) guidelines. 30% felt still there are drawbacks in the c | wbacks in the current RNTCP guidelines. 72% knew the correct definition of MDR tube | efinition of MDR tuberculosis. But only 36% of them knew the diagnostic method (gen"
29628698,Drug resistant Skeletal Tuberculosis in a tertiary care centre in South India.,10; 53.2; 46.8; 10.2; 4.7; 1.4; 3.7; 0.4; 66; 85; 3.7; 0.4,12,0.4,85.0,23.791666666666668,"s. Skeletal tuberculosis accounts up to 10% of all extra pulmonary tuberculosis. Wo | e period of 2006-2013 (96 months). 478 (53.2%) patients were treated for tubercular s | ted for tubercular spondylitis and 420 (46.8%) for extra-spinal skeletal tuberculosis | etal tuberculosis. Ninety two patients (10.2%) had documented resistance to the anti- | e 42 mono resistant tuberculosis cases (4.7%), 13 poly resistant cases (1.4%), 33 mu | cases (4.7%), 13 poly resistant cases (1.4%), 33 multi-drug resistant cases (MDR TB | 33 multi-drug resistant cases (MDR TB) (3.7%) and 4 (0.4%) extremely drug resistant | resistant cases (MDR TB) (3.7%) and 4 (0.4%) extremely drug resistant tuberculosis | ery was performed when indicated in 59 (66%) cases. 85% completed their course of t | ormed when indicated in 59 (66%) cases. 85% completed their course of treatment and | tuberculosis patients in our centre was 3.7% and that of Extremely drug resistant tu | y drug resistant tuberculosis cases was 0.4%. A Multi-disciplinary approach with dru"
29604431,Prevalence of mutations in genes associated with isoniazid resistance in Mycobacterium tuberculosis isolates from re-treated smear-positive pulmonary tuberculosis patients: A meta-analysis.,11.8; 71.0; 29.0; 89.1; 0.4; 10.5; 12.0; 10.8; 67.3; 95; 75.4,11,0.4,95.0,42.93636363636364,"inclusive of codon 315. In total, 1821 (11.8%) of 15438 INH-resistant strains had det | stant strains had detectable mutations: 71.0% in katG315 and 29.0% in the inhA promot | ectable mutations: 71.0% in katG315 and 29.0% in the inhA promoter region. The preval | he prevalence of IHN monoresistance was 89.1% in the economically-active age group, 0 | % in the economically-active age group, 0.4% in the paediatric age group and 10.5% i | p, 0.4% in the paediatric age group and 10.5% in those aged >60years; the rate in mal | ears; the rate in males and females was 12.0% and 10.8%, respectively. Meta-analysis | rate in males and females was 12.0% and 10.8%, respectively. Meta-analysis derived a | ed katGS315T resistant TB prevalence of 67.3% (95% CI 59.3-75.4%) with Q=732.19, I IN | S315T resistant TB prevalence of 67.3% (95% CI 59.3-75.4%) with Q=732.19, I INH res | ant TB prevalence of 67.3% (95% CI 59.3-75.4%) with Q=732.19, I INH resistance was sp"
