COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NEW_ENROL_AVAIL,PERCENT-ALL,PERCENT-TIME_LT_5Y,PERCENT-TIME_5_15Y,PERCENT-TIME_GT_15Y,NUMERATOR-ALL,NUMERATOR-TIME_LT_5Y,NUMERATOR-TIME_5_15Y,NUMERATOR-TIME_GT_15Y,DENOMINATOR-ALL,DENOMINATOR-TIME_LT_5Y,DENOMINATOR-TIME_5_15Y,DENOMINATOR-TIME_GT_15Y,NEW_ENROL_AVAIL_2,PER_CUR_ENROL-ALL,PER_CUR_ENROL-TIME_LT_5Y,PER_CUR_ENROL-TIME_5_15Y,PER_CUR_ENROL-TIME_GT_15Y,NUM_CUR_ENROL-ALL,NUM_CUR_ENROL-TIME_LT_5Y,NUM_CUR_ENROL-TIME_5_15Y,NUM_CUR_ENROL-TIME_GT_15Y,DEN_CUR_ENROL-ALL,DEN_CUR_ENROL-TIME_LT_5Y,DEN_CUR_ENROL-TIME_5_15Y,DEN_CUR_ENROL-TIME_GT_15Y,TBL_ARV_TBT-ALL,TBL_ARV_TBT-TIME_LT_5Y,TBL_ARV_TBT-TIME_5_15Y,TBL_ARV_TBT-TIME_GT_15Y,include_in_csv_export
VNM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Viet Nam,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Reported under Circular No. 05/2023/TT-BYT, also referred to as Circular 05/C05, issued by the Ministry of Health of Viet Nam on 10 March 2023.",2023-12-15,2024-12-14,"Numerator data for  'Currently enrolled on antiretroviral therapy' is not available.  Circular 05 only collects the number of patients on ARV treatment who receive latent TB treatment (including those currently undergoing treatment and those who have previously completed latent TB treatment.

Empty cells: data not available.",,published,"Date: 2025-05-21 10:15:45.848479
Empty cells: data not available.
--------
Date: 2025-03-27 12:02:00.993202
Empty cells: data not available.
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

HOANG DUC BUI (MINISTRY) said on 21/05/25 at 08:15: We already provided explanation in the box ""Additional information related to entered data"" and why this data is not available.

",Yes,61.3,,,,7211,,,,11773,,,,No,,,,,,,,,,,,,,,,,Yes
ATG,America,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,Yes
BHS,America,Latin America and the Caribbean,Caribbean,Bahamas,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BRB,America,Latin America and the Caribbean,Caribbean,Barbados,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Ladymeade Reference Unit
Chest Clinic WSPC 2024",2024-01-01,2024-12-31,,,published,,,,Yes,0,0,0,0,0,0,0,0,107,0,0,107,Yes,0,0,0,0,0,0,0,0,1476,0,1,1475,0,0,0,0,Yes
BLZ,America,Latin America and the Caribbean,Caribbean,Belize,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,BHIS,2024-01-01,2024-12-31,,,published,"Date: 2025-03-21 00:42:12.299668
Verifying...
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [112] seems to reflect an important change from the previous reporting period [63]. Please can you explain the reason for this or revise the data accordingly. Last year it was reported [185] people living with HIV on ART started TB preventive treatment and that [1766] people living with HIV were enrolled on ART. Please verify if data are available on the number of people who received TPT among all currently on ART for this reporting period.

Enrique  Romero (OTHER) said on 20/05/25 at 15:56: We do have data.  Can you kindly allow us access to update figures.

",Yes,48.7,0,0,49.3,112,0,0,112,230,3,0,227,No,,,,,,,,,,,,,,,,,Yes
CUB,America,Latin America and the Caribbean,Caribbean,Cuba,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Medisys: Registro informatizado Nacional de casos de VIH,2024-01-01,2024-12-31,,,published,"Date: 2025-05-26 17:22:33.441642
Si, definitivamente han cambiado
--------
Date: 2025-03-25 00:19:47.999966
Si, definitivamente han cambiado
--------
","Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas recién inscritas en tratamiento antirretroviral [1214] y actualmente inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis [1214] parecen reflejar un cambio importante con respecto al período de reporte anterior [1614 y 1795, respectivamente]. Agradecemos puedan brindar una explicacion para este cambio. El número de personas que se reporte que recibieron tratemiento preventivo contra la tuberculosis entre las personas recién inscritas en tratamiento antirretroviral en 2024 y todas las personas inscritas en tratamiento antirretroviral es el mismo, por favor verificar.

Jose Joaquin Joanes fiol (MINISTRY) said on 26/05/25 at 15:22: El número de personas recién inscritas en tratamiento antirretroviral [1804] e iniciaron tratamiento preventivo contra la tuberculosis [1214] , es un numero inferior al reportado el año anterior, por el déficit de isoniacida.  
El número de personas que se reporte que recibieron tratamiento preventivo contra la tuberculosis entre las personas recién inscritas en tratamiento antirretroviral en 2024 (1804) y todas las personas inscritas en tratamiento antirretroviral (28804) no es el mismo.

",Yes,67.3,0,28.6,67.6,1214,0,4,1210,1804,1,14,1789,Yes,4.2,0,12.5,0.7,1214,0,4,210,28804,9,32,28763,10499,2,6,10491,Yes
DMA,America,Latin America and the Caribbean,Caribbean,Dominica,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
DOM,America,Latin America and the Caribbean,Caribbean,Dominican Republic,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
GRD,America,Latin America and the Caribbean,Caribbean,Grenada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
GUY,America,Latin America and the Caribbean,Caribbean,Guyana,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
HTI,America,Latin America and the Caribbean,Caribbean,Haiti,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,SALVH,2024-01-01,2024-12-31,,,published,"Date: 2025-05-19 19:38:12.447354
Données manquantes
--------
","Certaines valeurs sont manquantes. Veuillez expliquer.
La ventilation par âge ne correspond pas au total.
Le dénominateur de cet indicateur devrait être le même que celui de l'indicateur 7.7. Veuillez vérifier.
Veuillez vérifier et confirmer que certains pourcentages ont changé de plus de 20% par rapport à l'année précédente.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: L'année dernière, il a été rapporté que [8113] personnes vivant avec le VIH nouvellement inscrites à un traitement antirétroviral avaient commencé un traitement préventif contre la tuberculose. Veuillez vérifier si des données sont disponibles pour cette période de référence.

Emmanuel Pierre (MINISTRY) said on 19/05/25 at 17:37: Lors de la soumission, les données n'étaient pas encore disponibles.

",Yes,89.1,,,,10129,,,,11368,,,,No,,,,,,,,,,,,,,,,,Yes
JAM,America,Latin America and the Caribbean,Caribbean,Jamaica,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
KNA,America,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
LCA,America,Latin America and the Caribbean,Caribbean,Saint Lucia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,No,,,,,,,,,,,,,No,,,,,,,,,,,,,0,,,,Yes
VCT,America,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Health Security Unit
OECS Report",2024-01-01,2024-12-31,,,published,"Date: 2025-04-29 20:08:29.941345
Age disaggregation is not available.
Some data is currently unavailable.
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,0,,,,0,,,,38,,,,Yes,0,,,,0,,,,453,,,,,,,,Yes
SUR,America,Latin America and the Caribbean,Caribbean,Suriname,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
TTO,America,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Numerator value: National TB Programme, TB Patient Registers
Denominator value: ART Patient Registers",2024-01-01,2024-12-31,Denominator values were available from 8 of 8 treatment clinics. Two adult treatment clinics at one hospital were merged.,,published,,,,Yes,1.3,0,0,1.3,5,0,0,5,388,1,5,382,Yes,0.1,0,0,0.1,8,0,0,8,7109,4,28,7077,25,0,0,25,Yes
ALB,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Albania,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
ARM,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Armenia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-19 11:17:43.633853
The data is reliable․
--------
Date: 2025-03-26 06:21:43.116571
The data is reliable․
--------
Date: 2025-03-21 08:48:35.241888
The data is reliable․
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [183] seems to reflect an important change from the previous reporting period [135]. Please can you explain the reason for this or revise the data accordingly. The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people on ART who received TPT in 2024, please verify.

Anna Mergelyan (OTHER) said on 19/05/25 at 09:17: The data has been reviewed again. Yes, in 2024 we focused our TB preventive treatment (TPT) efforts on newly enrolled ART clients, which explains the increase in reported numbers compared to the previous reporting period.

Regarding the number of people reported to have received TPT prior to the reporting period, there was a technical issue. In fact, only 10 individuals had initiated TPT in 2023 and continued receiving it in 2024. All of them are in the 15+ age group.

",Yes,33.8,0,0,34.1,183,0,0,183,541,2,2,537,Yes,20.1,0,0,20.4,193,0,0,193,960,5,8,947,193,0,0,193,Yes
AZE,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Azerbaijan,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-18 07:54:48.207206
I confirm the change.
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [1136] seems to reflect an important change from the previous reporting period [838]. The number of people newly enrolled on ART reported [1179] seems to reflect an important change from the previous reporting period [863]. The number of people currently enrolled on ART that started TB preventive treatment reported [1749] seems to reflect an important change from the number reported for the previous reporting period [1349]. Please can you explain the reasons for this or revise the data accordingly.

",Yes,96.4,100,100,96.3,1136,5,9,1122,1179,5,9,1165,Yes,20.5,7,26.8,20.6,1749,7,15,1727,8536,100,56,8380,7420,96,50,7274,Yes
BLR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Belarus,2024,GARPR,Yes,No,,,,,Отчетность Министерства здравоохранения Республики Беларусь,,published,"Date: 2025-03-25 22:09:07.264794
1
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [254] seems to reflect an important change from the previous reporting period [450]. Please can you explain the reason for this or revise the data accordingly. Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

Инна Карабан (MINISTRY) said on 30/05/25 at 12:57: Данные уточняются

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BIH,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
GEO,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Georgia,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
KAZ,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Kazakhstan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Информационная система ""Электронное слежение за случаями ВИЧ-инфекции""",2024-01-01,2024-12-31,,,published,"Date: 2025-05-20 05:33:57.516580
подтверждаем изменения, комментарии даны
--------
Date: 2025-03-28 12:43:12.772771
подтверждаем изменения
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [2869] seems to reflect an important change from the previous reporting period [2368]. The number of people currently enrolled on ART that started TB preventive treatment reported [3267] seems to reflect an important change from the number reported for the previous reporting period [2686]. Please can you explain the reason for this or revise the data accordingly.

Sairankul Kassymbekova (MINISTRY) said on 20/05/25 at 03:33: В 2023 году были проблемы связанные с закупом противотуберкулезных препаратов, препараты поступили в медицинские учреждения только во второй половине года. В свзи с чем охват профилактическим лечением ТБ по итогам 2023 года был недостаточным, в 2024 году проблем связанных с закупом препаратов не было.

",Yes,73.8,40,0,74,2869,6,0,2863,3890,15,5,3870,Yes,10.3,24.6,2.6,10.4,3267,16,6,3245,31614,65,229,31320,28344,49,0,28295,Yes
KGZ,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Kyrgyzstan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Система электронного слежения за ВИЧ-инфекцией в КР,2024-01-01,2024-12-31,,,published,"Date: 2025-05-29 07:37:42.708608
Да подтверждаем увеличение значений на 20%
--------
Date: 2025-03-18 08:14:08.041652
Да подтверждаем увеличение значений на 20%
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом
В настоящее время проходит курс антиретровирусной терапии: Числитель и знаменатель не соответствуют процентному соотношению.
Число людей, живущих с ВИЧ и получающих АРТ, которые получали профилактическое лечение от туберкулеза до этого отчетного периода, должно быть больше числа людей, живущих с ВИЧ и получающих АРТ, которые получали профилактическое лечение от туберкулеза в 2024 году. Пожалуйста, подтвердите это или дайте объяснение.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [579] seems to reflect an important change from the previous reporting period [332]. The number of people currently enrolled on ART that started TB preventive treatment reported [1010] seems to reflect an important change from the number reported for the previous reporting period [486]. Please can you explain the reason for this or revise the data accordingly. The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people newly enrolled on ART in 2024, please verify.

Айгуль Солпуева (OTHER) said on 29/05/25 at 05:37: Причиной увеличение назначение профилактического лечение туберкулеза: 
1. Сокращение курса ПЛТ на 3 мес. в связи с назначением нового комбинированного препарата Рифапентин/изониазид 300/300 мг №36. 1 раз в неделю, что создало удобства в приеме препарата.
2. В стране внедрена стратегия мотивационной выплаты медицинским работникам при назначении новым выявленным ЛЖВ ПЛТ по показаниям. 
Корректировано количество ЛЖВ, начавшие ПЛТ до отчетного периода на 486 ЛЖВ за 2023 год.

",Yes,61.3,22.2,25,62.1,579,2,3,574,945,9,12,924,Yes,14.7,9.1,4.9,14.9,960,3,6,951,6894,33,123,6738,486,1,2,483,Yes
MNE,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Montenegro,2024,GARPR,No,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
MKD,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
MDA,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Republic of Moldova,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-03 12:59:11.197042
Подтверждаем, что процентные значения изменились более, чем на 20% по сравнению с прошлым годом
--------
Date: 2025-03-25 14:43:45.094481
Подтверждаем, что процентные значения изменились более, чем на 20% по сравнению с прошлым годом
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people currently enrolled on ART that started TB preventive treatment reported [205] seems to reflect an important change from the number reported for the previous reporting period [289]. Please can you explain the reason for this or revise the data accordingly.

Tatiana Costin-Codreanu (MINISTRY) said on 20/05/25 at 13:44: The main cause is the refusal of patients to take isoniazid prophylaxis for 6 months.
Starting in 2025, the RIFAPENTINE preparation will be used (short course of 12 doses in 3 months), which could favor an increase in the percentage of people who will initiate the anti-tuberculosis prophylaxis course.

",Yes,11.5,0,0,11.5,96,0,0,96,838,3,3,832,Yes,2.3,0,0,2.3,205,0,0,205,8974,25,99,8850,,,,,Yes
RUS,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Russian Federation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
TJK,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Tajikistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Данные Национальной программы. Система электронного слежения за случаями ВИЧ-инфекции.,2024-01-01,2024-12-31,,,published,"Date: 2025-03-19 18:17:02.604825
Подтверждается.
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

",Yes,95.3,87.5,84.4,95.8,981,14,27,940,1029,16,32,981,No,,,,,,,,,,,,,,,,,Yes
TKM,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
UKR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Ukraine,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Newly enrolled on antiretroviral therapy:
For the numerator - the Information System ""Socially Significant Diseases"" (IS SSD).
For the denominator - annual reporting form No. 2 - HIV / AIDS ""Report on persons with conditions and diseases caused by HIV. 2024""

To determine the indicator in the table ""Currently receiving antiretroviral therapy"", data from the following sources were used the Information System ""Socially Significant Diseases"" (IS SSD).",2024-01-01,2024-12-31,"Data includes information from all regions of the country, except for the territories temporarily not controlled by the Government of Ukraine.",,published,"Date: 2025-03-28 09:00:03.884641
The data is corrected.
--------
Date: 2025-03-27 11:47:10.826986
The data has been corrected.
--------
Date: 2025-03-10 14:50:12.281411
Limited access to data due to the invasion of the Russian Federation.
--------
Date: 2025-03-10 14:18:40.809945
Limited access to data due to the invasion of the Russian Federation
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,76.5,,,,7678,,,,10038,,,,Yes,10.2,14.8,2.7,10.3,12127,20,29,12078,118701,135,1067,117499,,,,,Yes
UZB,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Uzbekistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),годовые отчеты службы СПИД,2024-01-01,2024-12-31,,,published,"Date: 2025-05-28 11:17:37.820580
Нет общего числа которые начали профилактическое лечение до отчетного периода
--------
Date: 2025-03-29 08:33:57.057077
Нет общего числа которые начали профилактическое лечение до отчетного периода
--------
","Пожалуйста, проверьте и подтвердите, что некоторые процентные значения изменились более, чем на 20% по сравнению с прошлым годом","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART reported [5568] seems to reflect an important change from the previous reporting period [3727]. It should also be the same as the number of people newly enrolled on ART reported for indicator 7.7 [3220]. Please verify.

Baxrom Igamberdiyev (OTHER) said on 28/05/25 at 09:17: Были сделаны поправки по Вашему коментарию

",Yes,41.6,0,56.6,41.4,2319,0,47,2272,5568,0,83,5485,Yes,22.5,0,7.5,22.7,10015,0,51,9964,44550,0,684,43866,,,,,Yes
AGO,Africa,Sub-Saharan Africa,Eastern and southern Africa,Angola,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,Clinical Care Map For patients living with HIV,Os dados reportados referem-se aos pacientes que iniciaram tratamento antiretroviral no periodo em referência e fizeram profilaxia para tuberculose.,edit,"Date: 2025-03-28 12:30:04.483848
Sim
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,45.4,86.9,42.3,44.5,20329,875,564,18890,44748,1007,1332,42409,Yes,11.9,67.4,14.1,11.4,20362,878,569,18915,171534,1302,4027,166205,22089,509,582,20998,Yes
BWA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Botswana,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,DHIS2,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people on ART who received TPT in 2024, please verify. Please verify if data are available on the number of people newly enrolled on ART who received TB preventive treatment during the reporting period.

",No,,,,,,,,,,,,,Yes,8.4,3.5,1.7,8.4,28565,17,44,28504,341533,481,2619,338433,28565,17,44,28504,Yes
COM,Africa,Sub-Saharan Africa,Eastern and southern Africa,Comoros,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
ERI,Africa,Sub-Saharan Africa,Eastern and southern Africa,Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SWZ,Africa,Sub-Saharan Africa,Eastern and southern Africa,Eswatini,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Client Management Information System (CMIS),2024-01-01,2024-12-31,,,published,"Date: 2025-05-27 12:13:26.763961
No Disaggregation
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Last year it was reported [5287] people living with HIV on ART started TB preventive treatment. Please verify if data are available for this reporting period.

Bongani Dube (OTHER) said on 27/05/25 at 10:13: Comment addressed

",Yes,60,,,,3772,,,,6288,,,,Yes,3.9,12.8,5.2,3.8,8466,82,219,8165,218710,641,4226,213843,,,,,Yes
ETH,Africa,Sub-Saharan Africa,Eastern and southern Africa,Ethiopia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,DHIS2,2023-07-01,2024-06-30,,,published,"Date: 2025-05-28 07:44:44.729381
NA
--------
Date: 2025-05-28 07:42:33.446551
NA
--------
Date: 2025-05-27 18:24:32.575359
NA
--------
Date: 2025-05-27 18:21:26.675318
NA
--------
Date: 2025-05-27 18:17:12.236428
NA
--------
Date: 2025-05-27 18:17:06.771675
NA
--------
Date: 2025-05-27 18:14:34.214791
NA
--------
Date: 2025-03-25 23:12:49.629637
NA
--------
",The age disaggregation does not add up to the total.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people on ART who received TPT in 2024, please verify.

Mirtie Meselu (MINISTRY) said on 27/05/25 at 16:16: Data updated with most recent national HMIS report.

",Yes,89.7,0,0,0,28627,0,0,0,31916,0,0,0,Yes,5.6,0,0,0,29311,0,0,0,522442,0,0,0,34314,0,0,0,Yes
KEN,Africa,Sub-Saharan Africa,Eastern and southern Africa,Kenya,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),National TB System (TIBU),2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Last year it was reported [121991] people living with HIV on ART started TB preventive treatment of [1338251] people living with HIV enrolled on ART. Please verify if data are available for this reporting period.

JOSHUA M'IMAITA (MINISTRY) said on 21/05/25 at 13:00: Awaiting data confirmation by the National TB program and NASCOP

",No,,,,,,,,,,,,,No,,,,,,,,,,,,,0,0,0,0,Yes
LSO,Africa,Sub-Saharan Africa,Eastern and southern Africa,Lesotho,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-21 16:09:24.533239
No data o such diaggregation
--------
Date: 2025-03-31 22:53:48.964888
No data o such diaggregation
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people currently enrolled on ART that started TB preventive treatment reported [6035] seems to reflect an important change from the number reported for the previous reporting period [16371]. Please can you explain the reason for this or revise the data accordingly. Please verify if data are available on the number of people newly enrolled on ART who received TB preventive treatment during the reporting period.

Morongoe Nyakane (MINISTRY) said on 21/05/25 at 14:09: The number is correct and has declined in 2024, it includes both newly enrolled and those ever enrolled, there is no data on newly enrolled on ART and started TPT, however, the programme revised the tools to separate the newly enrolled and those already on ART who started on TPT, in the next reporting we will be able to report on that indicator. 

At the moment we don't have a reason to explain the decline, we are yet to conduct the data data quality assessment on this indicator to get to the depth of this result. Again please note that at at 2024, TPT coverage for all PLHIV is 95% so these number could be associated with the fact that now the focus is on new clients enrolled on ART,

",No,,,,,,,,,,,,,Yes,2.5,,,,6035,,,,245897,,,,,,,,Yes
MDG,Africa,Sub-Saharan Africa,Eastern and southern Africa,Madagascar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
MWI,Africa,Sub-Saharan Africa,Eastern and southern Africa,Malawi,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,Quarterly supervision data,published,"Date: 2025-05-19 21:46:37.150967
We do not have such data
--------
Date: 2025-03-30 09:04:24.840710
We do not have such data
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [39984] seems to reflect an important change from the previous reporting period [47297]. Please can you explain the reason for this or revise the data accordingly.

Shadreck Sulani (MINISTRY) said on 19/05/25 at 19:45: With Malawi implementing WHO-recommended advanced HIV disease (AHD) packages, more newly enrolled PLHIV are being screened intensively for TB and other OIs (opportunistic infections), revealing previously undiagnosed TB.

",Yes,61,,,,39984,,,,65580,,,,No,,,,,,,,,,,,,,,,,Yes
