COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NUMERATOR-TOTAL,include_in_csv_export
UKR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Ukraine,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Information system ""Monitoring of Socially Significant Diseases"" (was put into commercial operation by Order of the Ministry of Health of Ukraine No. 1317 dated 25.07.2022 ""On the Functioning of the Information System ""Monitoring of Socially Significant Diseases"").",2024-01-01,2024-12-31,,,published,,,,2613,Yes
UZB,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Eastern Europe and central Asia,Uzbekistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Годовые отчеты службы СПИД,2024-01-01,2024-12-31,,,published,"Date: 2025-03-29 08:21:45.178319
Данные были взяты с электронного слежения службы СПИД.
--------
","Пожалуйста, проверьте и подтвердите, что некоторые числители изменились более, чем на 20% по сравнению с прошлым годом.",,56,Yes
AGO,Africa,Sub-Saharan Africa,Eastern and southern Africa,Angola,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,Reference to the tuberculosis patients registry book,National Tuberculosis Control Database,edit,,,,4559,Yes
BWA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Botswana,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,TB OpenMRS,2024-01-01,2024-12-31,,,published,,,,1380,No
COM,Africa,Sub-Saharan Africa,Eastern and southern Africa,Comoros,2024,GARPR,Yes,No,,,,,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023 [2]. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

youssouf Nouroulhoudah (MINISTRY) said on 22/05/25 at 07:56: D'après les données du programme TB 2024, aucun cas de co-infection TB/VIH n'a été signalé.

",,Yes
ERI,Africa,Sub-Saharan Africa,Eastern and southern Africa,Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SWZ,Africa,Sub-Saharan Africa,Eastern and southern Africa,Eswatini,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-23 22:22:58.841356
Data reported for 2024
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: It was reported that [1505] people living with HIV with TB on ART started TB treatment in 2023, compared to [7717] for 2024. This seems to reflect an important change. The National TB Programme has reported [1541] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [7717]. The National TB Programme has also reported [1563] TB cases among people living with HIV to WHO (irrespective of whether on ART). The number of people living with HIV with TB on ART reported for this indicator [7717] should not be greater than that. Please could you discuss with your colleagues in the National TB Programme and agree on the number to report.

Bongani Dube (OTHER) said on 27/05/25 at 09:27: Number reviewed to 1541

",1541,Yes
ETH,Africa,Sub-Saharan Africa,Eastern and southern Africa,Ethiopia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,DHIS2-aggregated data,2023-07-01,2024-06-30,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [7833] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [6998]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Mirtie Meselu (MINISTRY) said on 26/05/25 at 12:25: Based on the input and subsequent discussion with the National TB Program, the variation was identified as primarily due to differences in data reporting timing. Additionally, some data cleaning activities contributed to the new figure of 7592. The data has since been updated with the most recent HMIS data(DHIS2).

",7592,Yes
KEN,Africa,Sub-Saharan Africa,Eastern and southern Africa,Kenya,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,"Kenya Health Information System (KHIS)
National TB repository (TIBU)",2024-01-01,2024-12-31,,,published,"Date: 2025-03-31 21:41:50.713677
Pending update of correct data upon access to the national repository
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [22618] TB cases among people living with HIV on ART to WHO. Please could you discuss with your colleagues in the National TB Programme and report this indicator here.

JOSHUA M'IMAITA (MINISTRY) said on 21/05/25 at 11:59: 2024 performance updated

",22618,Yes
LSO,Africa,Sub-Saharan Africa,Eastern and southern Africa,Lesotho,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,DHIS2,2024-01-01,2024-12-31,,,published,"Date: 2025-04-07 10:31:18.258613
Yes, data provided by the TB programme
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [3080] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [2412]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Morongoe Nyakane (MINISTRY) said on 22/05/25 at 09:49: We discussed with TB Programme M&E, so we agreed to use that 3080, this number is reported through TB programme,

",3080,Yes
MDG,Africa,Sub-Saharan Africa,Eastern and southern Africa,Madagascar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MWI,Africa,Sub-Saharan Africa,Eastern and southern Africa,Malawi,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Tuberculosis Patient Registers,2024-01-01,2024-12-31,,Quarterly reporting in the national HIV and TB programmes,published,,,,7803,Yes
MUS,Africa,Sub-Saharan Africa,Eastern and southern Africa,Mauritius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MOZ,Africa,Sub-Saharan Africa,Eastern and southern Africa,Mozambique,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,"The TB program launched new instruments in 2024, so the data quality has hopefully improved, however it resulted in a small number of TB/HIV cases than previous years.",,published,"Date: 2025-04-02 12:30:13.046316
As written in the comments, the TB program launched new instruments in 2024 leading to a substantial reduction in almost all indicators, including the TB/HIV cases
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [24838] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [17450]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Orrin Tiberi (MINISTRY) said on 21/05/25 at 15:17: We updated this after a dicussion with them, please see the updated figures in the table.  If possible, in future years this would be good to be taken directly from the TB program and not requested as part of the GAM.  Thank you.

",24838,Yes
NAM,Africa,Sub-Saharan Africa,Eastern and southern Africa,Namibia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-24 08:38:03.662047
I confirm that the numerator have changed.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [2347] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [2267]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Udeilange Kornelius (MINISTRY) said on 19/05/25 at 10:14: Resolved with the help of TB Programme guidance

",2347,Yes
RWA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Rwanda,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),TB Case surveillance system,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [978] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [1089]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Doris Mukandori (MINISTRY) said on 23/05/25 at 09:31: we have corrected the reported cases for the indicator.

",978,Yes
SYC,Africa,Sub-Saharan Africa,Eastern and southern Africa,Seychelles,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,6,Yes
ZAF,Africa,Sub-Saharan Africa,Eastern and southern Africa,South Africa,2024,GARPR,Yes,No,,,,,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

",,Yes
SSD,Africa,Sub-Saharan Africa,Eastern and southern Africa,South Sudan,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
UGA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Uganda,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,28573,Yes
TZA,Africa,Sub-Saharan Africa,Eastern and southern Africa,United Republic of Tanzania,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-02 10:32:06.858968
I confirm
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,12311,Yes
ZMB,Africa,Sub-Saharan Africa,Eastern and southern Africa,Zambia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,13640,Yes
ZWE,Africa,Sub-Saharan Africa,Eastern and southern Africa,Zimbabwe,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [3597] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [8172]. The National TB Programme has also reported [3796] TB cases among people living with HIV to WHO (irrespective of whether on ART). The number of people living with HIV with TB on ART reported for this indicator [8172] should not be greater than that. Please could you discuss with your colleagues in the National TB Programme and agree on the number to report.

",8172,Yes
ARG,America,Latin America and the Caribbean,Latin America,Argentina,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Registros de pacientes que reciben tratamiento antirretroviral				
Registros de pacientes con tuberculosis				
Estos datos se obtienen del cruce de información proveniente del Instituto Nacional de Enfermedades Respiratorias (INER) “Dr. Emilio Coni"", el Sistema Nacional de vigilancia de la  salud (SNVS 2.0) y del Sistema de Administración de Pacientes VIH (SVIH).",2024-01-01,2024-12-31,,,published,,,,743,Yes
BOL,America,Latin America and the Caribbean,Latin America,Bolivia (Plurinational State of),2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,306,Yes
BRA,America,Latin America and the Caribbean,Latin America,Brazil,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,"Brazil does not work with estimatives of TB cases. Only with the reported cases.
Data available from Notifiable Disease Information System (SINAN).",,published,"Date: 2025-03-10 19:58:49.736026
From 2023 there was an increase in cases of TB-HIV co-infection in Brazil. And in 2024 it showed the same behavior, increasing the proportion of co-infection.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,6119,Yes
CHL,America,Latin America and the Caribbean,Latin America,Chile,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,175,Yes
COL,America,Latin America and the Caribbean,Latin America,Colombia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,"La información de las personas que viven con VIH y sus comorbilidades se reporta a la Cuenta de Alto Costo (CAC), registro nominal de todas las personas viviendo con VIH.",2023-02-01,2024-01-31,,"Es importante mencionar que a esta fuente no se reportan hasta el momento, los casos de TB/VIH en personas migrantes irregulares, los cuales se pueden identificar desde la base de tuberculosis.",published,"Date: 2025-04-09 16:59:29.968908
La Cuenta de Alto Costo reporta para el período 1 de febrero de 2023 a 31 de enero de 2024 un incremento en el número de personas con coinfección TB/VIH que recibieron ambos tratamientos
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Se ha reportado que [1005] personas que viven con el VIH y TB en tratamiento antirretroviral iniciaron el tratamiento contra la TB en 2023, en comparación con [1721] en 2024. Esto parece reflejar un cambio importante. Por favor, explique el motivo o consulte con el Programa Nacional contra la TB, revise los datos y modifíquelos según corresponda.

Ricardo Luque Núñez (MINISTRY) said on 28/05/25 at 17:58: Se revisa los datos reportados por la Cuenta de Alto Costo para el periodo 1 de febrero del 2023 al 31 de enero 2024 (datos principalmente del año 2023) y se identifica que el número de personas de TB (nuevos y que recaen en la enfermedad) que son VIH-positivos que iniciaron el tratamiento para TB durante el periodo del que se informa que ya estaban recibiendo terapia antirretroviral o que empezaron terapia antirretroviral durante el tratamiento de TB dentro del año de reporte fue de 1.071 personas. Por tanto se ajusta el dato reportado y se informará al programa de tuberculosis.

Es de anotar que la diferencia entre estos 1.071 y los 1.005 pacientes reportados por el programa de tuberculosis en el año 2023 puede estar dada por la diferencia del periodo de corte (Programa de tuberculosis Enero a diciembre 2023 y Cuenta de Alto Costo 1 de febrero 2023 a 31 de enero 2024).

No se cuenta con datos disponibles aún para el año 2024.

",1071,Yes
CRI,America,Latin America and the Caribbean,Latin America,Costa Rica,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
ECU,America,Latin America and the Caribbean,Latin America,Ecuador,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Registros administrativos de la EN TB,2024-01-01,2024-12-31,,,published,,,,1031,Yes
SLV,America,Latin America and the Caribbean,Latin America,El Salvador,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Registro sobre pacientes en tratamiento antirretroviral, registro sobre pacientes con tuberculosis.",2024-01-01,2024-12-31,,,published,,,,188,Yes
GTM,America,Latin America and the Caribbean,Latin America,Guatemala,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Matrices de llenado para coinfección TB y VIH.,2024-01-01,2024-12-31,No se obtuvo información de Hospicio San José y otras organizaciones cooperantes dada la salida de USAID lo cual afectó el reporting de información al PNS.,,published,,,"Victoria Bendaud (UNAIDS) said on 16/05/25 at 07:24: Numerador actualizado en base a correo de LR Tapia del 15 de mayo de 2025.

",350,Yes
HND,America,Latin America and the Caribbean,Latin America,Honduras,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,"""Informe de personas con diagnostico nuevo de VIH y vinculado por primera vez en el SAI en el año 2024. Evaluados para TB y manejo de sus infecciones oportunistas.
Informe de Personas con VIH atendidas en los SAI Coinfectadas con TB en el año evaluado""",2024-01-01,2024-12-31,"""Información enviada por los 64 Servicios de Atención Integral (SAI) distribuidas en las 20 regiones del pais, y cotejada con el equipo de Tuberculosis de la Unidad de Vigilancia de Salud y el equipo del Programa de Atencion Enfermedades Transmisibles Infecciosas y Otras del Componente de TB y VIH.""","""Se incorporaron 15 usuarios identificados por el componente de TB al informe de Personas con VIH atendidas en los SAI y coinfectadas con TB en 2024, con fines de vigilancia. La distribución de estos casos es la siguiente:

6 fallecieron antes de vincularse a un SAI.

8 no se vincularon a ningún SAI y se encuentran en proceso de aceptación del diagnóstico.

1 no se vinculó debido a TB/VIH y se encontraba en abandono de tratamiento ARV.

Asimismo, del cotejo realizado con el equipo del componente de TB, se identificó que, de los 172 casos de coinfección",published,,,,167,Yes
MEX,America,Latin America and the Caribbean,Latin America,Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
NIC,America,Latin America and the Caribbean,Latin America,Nicaragua,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Base de registros de casos de coinfección TB/VIH correspondiente al  año 2024, ambos programas llevan el seguimiento en la misma base.",2024-01-01,2024-12-31,Estos datos de coinfección son cotejados por las responsables de ambos programas  a nivel Nacional dando seguimiento para asegurar los tratamiento de la TB y el VIH.,,edit,,,,165,Yes
PAN,America,Latin America and the Caribbean,Latin America,Panama,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Fuentes de los   Datos: La fuente de Información  para el año 2024 proviene de los registros de las Clínicas de las Terapia Antirretroviral en coordinación con los  Programas locales, Regionales y el Programa Nacional de Control de la Tuberculosis.",2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: El Programa Nacional de TB ha reportado [367] casos de TB entre personas que viven con el VIH y están en tratamiento antirretroviral a la OMS, lo cual difiere del número de personas que viven con el VIH y TB en tratamiento antirretroviral reportado para este indicador [316]. Agradecemos puedan consultar con sus colegas del Programa Nacional de TB y acordar un valor para este indicador.

Rosa Lowe (MINISTRY) said on 21/05/25 at 19:37: Debido a que el informe GAM fue entregado antes que, el del Programa de TB, nos hizo falta el dato de los pacientes coinfectados de una región de salud, ya que no lo pudimos obtener de manera oportuna. Sin embargo, la información brindada por el Programa de TB, sí incluyó esta región, de allí la diferencia en los datos. Por todo lo explicado, procedimos a realizar la corrección en el informe GAM y colocamos el total de 367 pacientes coinfectados que recibieron ambas terapias.

",367,Yes
PRY,America,Latin America and the Caribbean,Latin America,Paraguay,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Registro consolidado de datos del PRONASIDA y el PNCT de los pacientes con la coinfeccion TB_VIH 
Registro de PVV con la coinfeccion TB-VIH enviados por los SAI
Ficha de notificacion del seguimiento de casos de TB del PNCT",2024-01-01,2024-12-31,,,published,"Date: 2025-03-27 15:41:37.774823
En Paraguay, los datos de Tuberculosis se cierran en abril del año siguiente (2025) tendremos datos más precisos luego de ese periodo.
--------
Date: 2025-03-27 15:41:33.861648
En Paraguay, los datos de Tuberculosis se cierran en abril del año siguiente (2025) tendremos datos más precisos luego de ese periodo.
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,,109,Yes
PER,America,Latin America and the Caribbean,Latin America,Peru,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,"Sistema de Información Gerencial de Tuberculosis - SIGTB, Dirección de Prevención y Control de Tuberculosis",2024-01-01,2024-12-31,"Incluye información de MINSA, EsSALUD, Fuerzas Armadas y Policiales.",,published,"Date: 2025-04-23 21:25:00.324757
Es la información preliminar de la DPCTB
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Se ha reportado que [1010] personas que viven con el VIH y TB en tratamiento antirretroviral iniciaron tratamiento contra la TB en 2023, en comparación con [2544] en 2024. Esto parece reflejar un cambio importante. El Programa Nacional de TB ha reportado [926] casos de TB entre personas que viven con el VIH en tratamiento antirretroviral a la OMS, lo que difiere del número de personas que viven con el VIH y TB en tratamiento antirretroviral reportado para este indicador [2544]. El Programa Nacional de TB también ha reportado [1618] casos de TB entre personas que viven con el VIH a la OMS (independientemente de si reciben tratamiento antirretroviral). El número de personas que viven con el VIH y TB que reciben tratamiento antirretroviral reportado para este indicador [2544] no debería ser mayor que ese. Agradecemos puedan consultar con sus colegas del Programa Nacional de TB y acordar el número a reportar.

Patricia Ruiz Pizarro (MINISTRY) said on 28/05/25 at 13:55: Se realiza la corrección pendiente. La información anterior solo fue preliminar siempre.

",926,Yes
URY,America,Latin America and the Caribbean,Latin America,Uruguay,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Datos de DEVISA (Departamento de Vigilancia en Salud),2023-01-01,2023-12-31,,,published,"Date: 2025-05-23 14:35:36.178157
Esos son los datos para el período 2024 ya especificado.
--------
Date: 2025-05-13 15:08:18.156326
Esos son los datos para el período 2024 ya especificado.
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Se ha reportado que [46] personas que viven con el VIH y tuberculosis y están en tratamiento antirretroviral comenzaron el tratamiento contra la tuberculosis en 2023, en comparación con [172] en 2024. El Programa Nacional de TB ha reportado [53] casos de TB entre personas que viven con VIH y reciben antirretrovirales a la OMS, lo cual difiere del número de personas que viven con VIH y TB y reciben antirretrovirales reportado para este indicador [172]. Ademas, el Programa Nacional de TB ha reportado [136] casos de TB entre personas que viven con el VIH a la OMS (independientemente de si reciben tratamiento antirretroviral). El número de personas que viven con el VIH y TB en tratamiento antirretroviral reportado para este indicador [172] no debería ser mayor que ese. Agradecemos puedan consultar con sus colegas del Programa Nacional de TB y acordar el número a reportar.

Susana Cabrera Alonso (MINISTRY) said on 30/05/25 at 10:31: Se toma reporte del año 2023

",53,Yes
VEN,America,Latin America and the Caribbean,Latin America,"Venezuela, Bolivarian Republic of",2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-28 18:32:13.363345
Durante el año 2024 el Programa Nacional de Salud Respiratoria ha hecho esfuerzos para mejorar la notificación de información desde las coordinaciones regionales hacia el nivel central. Además, se ha logrado establecer una buena alianza entre los programas de salud respiratoria y de VIH mejorando el intercambio de información.
--------
Date: 2025-04-28 08:02:05.318023
Durante el año 2024 el Programa Nacional de Salud Respiratoria ha hecho esfuerzos para mejorar la notificación de información desde las coordinaciones regionales hacia el nivel central. Además, se ha logrado establecer una buena alianza entre los programas de salud respiratoria y de VIH mejorando el intercambio de información.
--------
",Verifique y confirme que algunos numeradores han cambiado en más de un 20% respecto al año anterior.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Se ha reportado que [459] personas que viven con el VIH y con TB estaban recibiendo tratamiento antirretroviral en 2023, en comparación con [576] en 2024. Esto parece reflejar un cambio importante. Por favor, explique el motivo o consulte con el Programa Nacional de TB, revise los datos y modifíquelos según corresponda.

Yolimar Gil Sojo (MINISTRY) said on 28/05/25 at 16:31: Durante el 2024 se dispuso de mayor cantidad de pruebas rápidas para realizar serología de VIH a los pacientes de TB lo que permitió aumentar el conocimiento sobre el estado serológico con respecto al VIH de más personas, sobre todo en estados que reportaban en años anteriores pocas pruebas como son: Amazonas, Delta Amacuro y Zulia.

",576,Yes
BHR,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Bahrain,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),HIV and Tuberculosis survillance data in Public health,2024-01-01,2024-12-31,,,published,"Date: 2025-04-08 15:45:39.996683
No new cases of TB among people living with HIV 
--------
Date: 2025-04-08 15:45:36.340882
No new cases of TB among people living with HIV 
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,0,Yes
DJI,Eastern Mediterranean,Sub-Saharan Africa,Middle East and North Africa,Djibouti,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-14 19:54:24.558418
16 PVVIH ont été déclaré positive à la tuberculose et mis sous traitement
--------
Date: 2025-03-14 19:53:53.167138
16 PVVIH ont été déclaré positive à la tuberculose et mis sous traitement
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,,16,Yes
EGY,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Egypt,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-27 11:43:54.837303
yes 
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,143,Yes
IRQ,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Iraq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
JOR,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
KWT,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Kuwait,2024,GARPR,Yes,No,,,,,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [1] TB cases among people living with HIV on ART to WHO. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

Sarah Alawi (MINISTRY) said on 27/05/25 at 06:30: According to statistics we received from National TB Programme, there are no TB cases among patients living with HIV. We contacted them and they confirmed that and will adjust their reported number.

",,Yes
LBN,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Lebanon,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,TB and HIV Registers,2024-01-01,2024-12-31,,,published,"Date: 2025-05-23 07:55:58.548067
confirmed
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté à l'OMS [1] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR. Les données ont été rapportées sur le nombre de personnes vivant avec le VIH et avec tuberculose qui étaient sous TAR et avaient commencé un traitement contre la tuberculose pendant la période de rapport pour 2023. Veuillez consulter le Programme national de lutte contre la tuberculose et rendre compte de la période de rapport actuelle, ou fournir une explication.

",1,Yes
PSE,Eastern Mediterranean,,Middle East and North Africa,Occupied Palestinian Territory,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
OMN,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Oman,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),HIV and TB program records,2024-01-01,2024-12-31,,"Out of the 4 patients, 2 are non-nationals",published,"Date: 2025-03-17 09:44:49.667290
Verified
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,4,Yes
QAT,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Qatar,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-22 07:36:26.748024
2 patients in 2024
--------
Date: 2025-05-22 07:32:08.999888
2 patients in 2024
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [2] TB cases among people living with HIV on ART to WHO. Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

Joanne Daghfal Nader (OTHER) said on 22/05/25 at 05:28: the NTP has up-to-date data on HIV+ individuals on ART who started TB treatment in the current reporting year jan 2024 to dec 2024

",2,Yes
SAU,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Saudi Arabia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,62,Yes
SOM,Eastern Mediterranean,Sub-Saharan Africa,Middle East and North Africa,Somalia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SDN,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Sudan,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,109,Yes
SYR,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Syrian Arab Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ARE,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,United Arab Emirates,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),National TB program and NAP records,2024-01-01,2024-12-31,,,published,"Date: 2025-03-27 10:09:54.439835
-----
--------
Date: 2025-03-27 08:49:51.250180
-----
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,1,Yes
YEM,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ROU,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Western and Central Europe and North America,Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
DZA,Africa,Middle East and North Africa,Western and central Africa,Algeria,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
